ambiguity,model_a,model_b,rho
high,openai_text-davinci-003,meta_opt-iml-max-small,0.6338582899759706
high,openai_text-davinci-002,anthropic_claude-v1.3,0.6670193528047891
high,openai_text-davinci-002,anthropic_claude-instant-v1.1,0.7588721913122083
high,openai_text-davinci-002,google_text-bison-001,0.695349549940335
high,openai_text-davinci-002,google_flan-t5-xl,0.6116980992426191
high,openai_text-davinci-002,cohere_command-xlarge,0.7145462010764254
high,openai_text-davinci-002,ai21_j2-jumbo-instruct,0.5974148599951176
high,openai_text-davinci-002,bigscience_bloomz-7b1,0.6879186241933107
high,openai_text-davinci-002,meta_opt-iml-max-small,0.5387690840252447
high,anthropic_claude-v1.3,anthropic_claude-instant-v1.1,0.9441250238226608
high,anthropic_claude-v1.3,google_text-bison-001,0.8144240999636221
high,anthropic_claude-v1.3,google_flan-t5-xl,0.07454885759301501
high,anthropic_claude-v1.3,cohere_command-xlarge,0.9288004997001699
high,anthropic_claude-v1.3,ai21_j2-jumbo-instruct,0.35426794868938105
high,anthropic_claude-v1.3,bigscience_bloomz-7b1,0.7745205211139109
high,anthropic_claude-v1.3,meta_opt-iml-max-small,0.16112079171133564
high,anthropic_claude-instant-v1.1,google_text-bison-001,0.8299125853026783
high,anthropic_claude-instant-v1.1,google_flan-t5-xl,0.351495977289463
high,anthropic_claude-instant-v1.1,cohere_command-xlarge,0.9739836603453734
high,anthropic_claude-instant-v1.1,ai21_j2-jumbo-instruct,0.3185538184437679
high,anthropic_claude-instant-v1.1,bigscience_bloomz-7b1,0.9354081845323201
high,anthropic_claude-instant-v1.1,meta_opt-iml-max-small,0.3886192417726557
high,google_text-bison-001,google_flan-t5-xl,0.1582172835117276
high,google_text-bison-001,cohere_command-xlarge,0.8572564784349546
high,google_text-bison-001,ai21_j2-jumbo-instruct,0.0522059651530135
high,google_text-bison-001,bigscience_bloomz-7b1,0.7492327887841762
high,google_text-bison-001,meta_opt-iml-max-small,0.6320300771170364
high,google_flan-t5-xl,cohere_command-xlarge,0.2269408051229298
high,google_flan-t5-xl,ai21_j2-jumbo-instruct,0.17408624304406753
high,google_flan-t5-xl,bigscience_bloomz-7b1,0.5229993003739726
high,google_flan-t5-xl,meta_opt-iml-max-small,0.6043980989204015
high,cohere_command-xlarge,ai21_j2-jumbo-instruct,0.3309681021371754
high,cohere_command-xlarge,bigscience_bloomz-7b1,0.9188619023066532
high,cohere_command-xlarge,meta_opt-iml-max-small,0.4001912829460421
high,ai21_j2-jumbo-instruct,bigscience_bloomz-7b1,0.18027358177995964
high,ai21_j2-jumbo-instruct,meta_opt-iml-max-small,-0.22005918206370936
high,bigscience_bloomz-7b1,meta_opt-iml-max-small,0.5606094973940857
low,openai_gpt-4,openai_gpt-3.5-turbo,0.9643891590396804
low,openai_gpt-4,openai_text-davinci-003,0.9405143398683043
low,openai_gpt-4,openai_text-davinci-002,0.9323056619769148
low,openai_gpt-4,anthropic_claude-v1.3,-0.27626981056624034
low,openai_gpt-4,anthropic_claude-instant-v1.1,0.46678661399206284
low,openai_gpt-4,google_text-bison-001,0.9254771818504401
low,openai_gpt-4,google_flan-t5-xl,0.8996146611206444
low,openai_gpt-4,cohere_command-xlarge,0.715767704251086
low,openai_gpt-4,ai21_j2-jumbo-instruct,0.738270318916111
low,openai_gpt-4,bigscience_bloomz-7b1,0.8273619568618028
low,openai_gpt-4,meta_opt-iml-max-small,0.9429772239497233
low,openai_gpt-3.5-turbo,openai_text-davinci-003,0.9866456911800688
low,openai_gpt-3.5-turbo,openai_text-davinci-002,0.9856112415081106
low,openai_gpt-3.5-turbo,anthropic_claude-v1.3,-0.1695125867053372
low,openai_gpt-3.5-turbo,anthropic_claude-instant-v1.1,0.6281994731314915
low,openai_gpt-3.5-turbo,google_text-bison-001,0.9799240764165049
low,openai_gpt-3.5-turbo,google_flan-t5-xl,0.92734965076147
low,openai_gpt-3.5-turbo,cohere_command-xlarge,0.7503331508727787
low,openai_gpt-3.5-turbo,ai21_j2-jumbo-instruct,0.8002169315395505
low,openai_gpt-3.5-turbo,bigscience_bloomz-7b1,0.9263873738184161
low,openai_gpt-3.5-turbo,meta_opt-iml-max-small,0.9922812273689571
low,openai_text-davinci-003,openai_text-davinci-002,0.9989709165861036
low,openai_text-davinci-003,anthropic_claude-v1.3,-0.24801995576890268
low,openai_text-davinci-003,anthropic_claude-instant-v1.1,0.6597068523732743
low,openai_text-davinci-003,google_text-bison-001,0.9469754358846837
low,openai_text-davinci-003,google_flan-t5-xl,0.8580624469423548
low,openai_text-davinci-003,cohere_command-xlarge,0.653939629909464
low,openai_text-davinci-003,ai21_j2-jumbo-instruct,0.7412568987860396
low,openai_text-davinci-003,bigscience_bloomz-7b1,0.9045022154664215
low,openai_text-davinci-003,meta_opt-iml-max-small,0.9679482269096122
low,openai_text-davinci-002,anthropic_claude-v1.3,-0.2238003562343772
low,openai_text-davinci-002,anthropic_claude-instant-v1.1,0.6705005494858501
low,openai_text-davinci-002,google_text-bison-001,0.9472082262238795
low,openai_text-davinci-002,google_flan-t5-xl,0.8583231825141293
low,openai_text-davinci-002,cohere_command-xlarge,0.6622874581062922
low,openai_text-davinci-002,ai21_j2-jumbo-instruct,0.7548489520352736
low,openai_text-davinci-002,bigscience_bloomz-7b1,0.9023916827924123
low,openai_text-davinci-002,meta_opt-iml-max-small,0.9667735405313377
low,anthropic_claude-v1.3,anthropic_claude-instant-v1.1,0.3634164082013593
low,anthropic_claude-v1.3,google_text-bison-001,0.005438361067505259
low,anthropic_claude-v1.3,google_flan-t5-xl,-0.013722815760711228
low,anthropic_claude-v1.3,cohere_command-xlarge,0.062341160726222485
low,anthropic_claude-v1.3,ai21_j2-jumbo-instruct,-0.06002608439642927
low,anthropic_claude-v1.3,bigscience_bloomz-7b1,-0.007869848151093995
low,anthropic_claude-v1.3,meta_opt-iml-max-small,-0.13065549160726508
low,anthropic_claude-instant-v1.1,google_text-bison-001,0.6978472938005279
low,anthropic_claude-instant-v1.1,google_flan-t5-xl,0.4705270555998771
low,anthropic_claude-instant-v1.1,cohere_command-xlarge,0.22903922884622227
low,anthropic_claude-instant-v1.1,ai21_j2-jumbo-instruct,0.28536492939775665
low,anthropic_claude-instant-v1.1,bigscience_bloomz-7b1,0.7313472199731853
low,anthropic_claude-instant-v1.1,meta_opt-iml-max-small,0.6223715764803098
low,google_text-bison-001,google_flan-t5-xl,0.9489472762152759
low,google_text-bison-001,cohere_command-xlarge,0.7780762641710453
low,google_text-bison-001,ai21_j2-jumbo-instruct,0.7884879313455264
low,google_text-bison-001,bigscience_bloomz-7b1,0.9607961487280978
low,google_text-bison-001,meta_opt-iml-max-small,0.9875819912764139
low,google_flan-t5-xl,cohere_command-xlarge,0.9276962383110487
low,google_flan-t5-xl,ai21_j2-jumbo-instruct,0.9009458856660754
low,google_flan-t5-xl,bigscience_bloomz-7b1,0.9012170214483919
low,google_flan-t5-xl,meta_opt-iml-max-small,0.9550805991821802
low,cohere_command-xlarge,ai21_j2-jumbo-instruct,0.9605160963463767
low,cohere_command-xlarge,bigscience_bloomz-7b1,0.7317927834732252
low,cohere_command-xlarge,meta_opt-iml-max-small,0.7991231307006296
low,ai21_j2-jumbo-instruct,bigscience_bloomz-7b1,0.7425687477804742
low,ai21_j2-jumbo-instruct,meta_opt-iml-max-small,0.8313014626215606
low,bigscience_bloomz-7b1,meta_opt-iml-max-small,0.9572366429463222
